arabic/1E_favorite query:#فيتو حقيقة فيديو تلقي ابنة #بوتين #لقاح "#سبوتنيك_V" للوقاية من #كورونا https://t.co/o8j0CAEqFx #لقاح_كورونا #لقاح_كورونا_الروسي #لقاح_روسيا #اللقاح #اللقاح_الروسي 	 62
arabic/1E_favorite query:مركز القرائن في #الشارقة يدعم تجارب اللقاح للتفاصيل: https://t.co/gJiuobZf04 #نتصدر_المشهد #COVID19 https://t.co/ovrNh9l16Q 	 5
arabic/1E_favorite query:اللقاح الروسي 🇷🇺 بسحب وزير الصناعة يحتاج 17 شهر ليغطي 70% من ال146 مليون في روسيا نفسها بعد ان تصل سرعة التصنيع ل6 مليون جرعة في الشهر!! هذا اذا كان كل شخص يحتاج لجرعة واحدة فقط قلت سابقاً 👇وسأعيد ذلك، لا تعقدوا الامل على اللقاحات في انتهاء الوباء او القضاء على الفيروس قريباً https://t.co/z92vdoWdDG https://t.co/TiOMlezt5D 	 13
arabic/1E_favorite query:#روسيا تعلن إنتاج أول دفعة من لقاح #كورونا https://t.co/4bxK4wboTW 	 10
arabic/1E_favorite query:#رسمونا_ماتربطونا_بكورونا رئيس الجمهورية السيد عبد المجيد تبون يأمر الحكومة بالاتصال بتحضير كل مايلزم من اجل اقتناء لقاح فيروس كورونا فور تسويقه طيب جيد جدا نتمنى له التوفيق لكن هذا يعني ان الاموال موجودة اذا لما تمنعونها فقط على عقود ماقبل التشغيل؟ 	 1
arabic/1E_favorite query:حتى لو اخذت #لقاح_كورونا راح تبقى في الاحتياطات القمعية تلبس كمامه بالرغم انها لا تحميك تباعد اجتماعي ومع ذلك تصاب بالوهم حتى مع استخدمت المعقمات وتحليل ايجابي بالرغم من اعتراف صاحب اختراع PCR احتمالية الخطاء في الجهاز70٪ مخصص فقط لتحليل الDNA وليس الامراض الاخرى #تَكَرْوَنَ_تْ 	 13
arabic/1E_favorite query:صحيفة newsweek الأمريكية:هل تعرف من الذي اقترح النظافة الشخصية والحجر الصحي أثناء الوباء؟إنه محمد نبي الإسلام قبل 1400 عام. لم يكن أبدا خبيرًا في مسائل الأمراض الفتاكة إلا أن محمد كان لديه نصيحة رائعة لمنع ومكافحة تطور وباء مثل فيروس كورونا لقراءة المقال https://t.co/dJx7dtLB0i 	 14604
arabic/1E_favorite query:#ترامب: سنعلن قريبا عن لقاح ضد #كورونا - نأمل أن يكون اللقاح الروسي فعالاً #الحرير_نيوز https://t.co/UTcbAgOsMV 	 1
arabic/1E_favorite query:عاجل | منظمة الصحة العالمية: مذكرة التفاهم مع بنك الاستثمار الأوروبي ستفيد في تمويل أبحاث إنتاج لقاح لفيروس #كورونا 	 25
arabic/1E_favorite query:#وزارة_الصحة_الروسية تعلن رسمياً موافقتها على اللقاح الروسي الجديد المضاد لـ #فيروس_كورونا وستبدأ قريباً بإنتاج اللقاح على مستوى واسع.. عسى يا رب 🤲🏻🤲🏻 #روسيا 	 35
