arabic/1A_checkworthy query: «#الصحة_العالمية»: لا يوجد لقاح بالعالم فاعليته كبيرة ضد #كورونا 100% #عاجل #عكاظ #ان_تكون_اولا #تطبيق_عكاظ #كورونا #corona @WHO [LINK]	yes
arabic/1A_checkworthy query: سباق وتمويلات ضخمة للشركات لإنتاج لقاح ضد #كورونا الرابط البديل: [LINK] #معاً_نعزل_كورونا [LINK]	no
arabic/1A_checkworthy query: روسيا.. تسجيل لقاح مضاد لكورونا قريبا للمزيد: [LINK] #كورونا #فيروس_كورونا #روسيا #RT_Arabic [LINK]	no
arabic/1A_checkworthy query: ثلاث لقاحات يتوقع أن تكون جاهزة في صيف 2020 1 - لقاح (ChAdOx1 nCoV-19) التابع لجامعة اكسفورد البريطانية 2 - لقاح (mRNA-1273) التابع لشركة Moderna الأمريكية 3- لقاح (BNT162) التابع لشركة Pfizer الأمريكية [LINK] [LINK]	no
arabic/1A_checkworthy query: منظمة الصحة العالمية تعلن عن خطة توزيع لقاحات الفيروس المستجد #كورونا [LINK]	yes
arabic/1A_checkworthy query: دليل بسيط جداً ان #كورونا مصنع معملياً و مش من تطوير الطبيعة، هو عدم اختفاؤه باختلاف المواسم! ادوار البرد موسمية بتختلف كل ٣ شهور تقريباً، والدراسات تؤكد انه لن يختفي بدون لقاح و علاج و احتمالية استمراره ل ٤ سنين !	yes
arabic/1A_checkworthy query: وزير الاتصالات يقول لكم: 16 خدمة بريدية في خدمتكم… 12 تطبيق توصيل يساعدكم… لن ينقصكم شيء مع هذه الخدمات والتطبيقات… أبقى آمناً في منزلك… والتطبيقات تخدمك👌 #امر_ملكي	no
arabic/1A_checkworthy query: #روسيا لقاح #COVID19 ومن أجل تعزيز المناعة يحقن مرتين حيث تتضمن الحقنة الأولى مكونا واحدا للقاح وبعد 3 أسابيع يحقن مرة أخرى باستخدام مكون ثان للقاح. وتتضمن التعليمات كذلك ملاحظة تشير إلى أن شخصا يخضع للتطعيم يجب أن يبقى تحت رقابة الأطباء لمدة 30 دقيقة لقاح #COVID19 [LINK]	yes
arabic/1A_checkworthy query: الأكثر إثارة للإعجاب.. لقاح نوفافاكس يظهر نتائج واعدة ضد كورونا [LINK] #كورونا [LINK]	yes
arabic/1A_checkworthy query: في وقت يجري فيه خبراء بلاده أول تجربة للقاح #كورونا على البشر.. #ترمب يحاول الاستحواذ على لقاح ألماني، وبرلين ترد : #ألمانيا ليست للبيع! [LINK]	yes
